Phrase	Grammar	Transcription	Translation	Notes
安宁	Adj	ānníng		
安稳	Adj	ānwěn		
安祥	Adj	ānxiáng		
暗淡	Adj	àndàn		
昂贵	Adj	ángguì		
昂扬	Adj	ángyáng		
凹	Adj	āo		
霸道	Adj	bàdào		
百倍	Adj	bǎibèi		
饱和	Adj	bǎohé		
饱满	Adj	bǎomǎn		
悲惨	Adj	bēicǎn		
悲愤	Adj	bēifèn		
悲伤	Adj	bēishāng		
卑鄙	Adj	bēibǐ		
笨重	Adj	bènzhòng		
笨拙	Adj	bènzhuō		
笔直	Adj	bǐzhí		
碧绿	Adj	bìlǜ		
闭塞	Adj	bìsè		
辩证	adj, v	biànzhèng		
别扭	Adj	bièniu		
不当	Adj	bùdàng		
不得已	Adj	bùdéyǐ		
不等	Adj	bùděng		
不法	Adj	bùfǎ		
不公	Adj	bùgōng		
不堪	v, adj	bùkān		
不良	Adj	bùliáng		
残	Adj	cán		
残暴	Adj	cánbào		
残忍	Adj	cánrěn		
仓促	Adj	cāngcù		
草率	Adj	cǎoshuài		
诧异	Adj	chàyì		
馋	Adj	chán		
昌盛	Adj	chāngshèng		
猖狂	Adj	chāngkuáng		
常见	Adj	chángjiàn		
常用	Adj	chángyòng		
长寿	Adj	chángshòu		
超级	Adj	chāojí		
沉静	Adj	chénjìng		
沉闷	Adj	chénmèn		
沉痛	Adj	chéntòng		
沉着	Adj	chénzhuó		
陈旧	Adj	chénjiù		
诚挚	Adj	chéngzhì		
迟缓	Adj	chíhuǎn		
充沛	Adj	chōngpèi		
稠密	Adj	chóumì		
丑恶	Adj	chǒu'è		
出色	Adj	chūsè		
纯粹	Adj	chúncuì		
蠢	Adj	chǔn		
雌	Adj	cí		
慈爱	Adj	cí'ài		
慈祥	Adj	cíxiáng		
匆匆	Adj	cōngcōng		
粗暴	Adj	cūbào		
粗鲁	Adj	cūlǔ		
翠绿	Adj	cuìlǜ		
脆	Adj	cuì		
脆弱	Adj	cuìruò		
大无畏	Adj	dàwúwèi		
带劲	Adj	dàijìn		
胆怯	Adj	dǎnqiè		
得力	Adj	délì		
低级	Adj	dījí		
低劣	Adj	dīliè		
低下	Adj	dīxià		
刁	Adj	diāo		
独	Adj	dú		
短促	Adj	duǎncù		
短暂	Adj	duǎnzàn		
对称	Adj	duìchèn		
对头	Adj	duìtóu		
额外	Adj	éwài		
恶毒	Adj	èdú		
恶性	Adj	èxìng		
恩爱	Adj	ēn'ài		
法定	Adj	fǎdìng		
繁	Adj	fán		
繁多	Adj	fánduō		
繁华	Adj	fánhuá		
繁忙	Adj	fánmáng		
繁重	Adj	fánzhòng		
烦闷	Adj	fánmèn		
烦恼	adj, n	fánnǎo		
烦躁	Adj	fánzào		
反常	Adj	fǎncháng		
反感	Adj	fǎngǎn		
非法	Adj	fēifǎ		
肥沃	Adj	féiwò		
芬芳	Adj	fēnfāng		
愤恨	Adj	fènhèn		
丰满	Adj	fēngmǎn		
锋利	Adj	fēnglì		
腐败	Adj	fǔbài		
腐化	Adj	fǔhuà		
富强	Adj	fùqiáng		
感慨	v, adj	gǎnkǎi		
高超	Adj	gāochāo		
高档	Adj	gāodàng		
高贵	Adj	gāoguì		
高明	Adj	gāomíng		
各别	Adj	gèbié		
恭敬	Adj	gōngjìng		
公道	Adj	gōngdao		
公平	Adj	gōngpíng		
孤单	Adj	gūdān		
孤独	Adj	gūdú		
古怪	Adj	gǔguài		
故	n, adj, conj	gù		
固有	Adj	gùyǒu		
固执	Adj	gùzhí		
关切	Adj	guānqiè		
光亮	adj, n	guāngliàng		
贵重	Adj	guìzhòng		
国产	Adj	guóchǎn		
果断	Adj	guǒduàn		
过度	Adj	guòdù		
寒	Adj	hán		
罕见	Adj	hǎnjiàn		
豪华	Adj	háohuá		
好多	Adj	hǎoduō		
好样的	Adj	hǎoyàngde		
好客	Adj	hàokè		
和蔼	Adj	hé'ǎi		
和睦	Adj	hémù		
和气	Adj	héqi		
和谐	Adj	héxié		
狠毒	Adj	hěndú		
横	Adj	hèng		
宏大	Adj	hóngdà		
华丽	Adj	huálì		
缓	Adj	huǎn		
荒凉	Adj	huāngliáng		
荒谬	Adj	huāngmiù		
荒唐	Adj	huāngtáng		
慌乱	Adj	huāngluàn		
慌张	Adj	huāngzhāng		
混浊	Adj	hùnzhuó		
机灵	Adj	jīling		
机密	adj, n	jīmì		
机智	Adj	jīzhì		
吉祥	Adj	jíxiáng		
急切	Adj	jíqiè		
寂静	Adj	jìjìng		
坚韧	Adj	jiānrèn		
坚实	Adj	jiānshí		
尖端	n, adj	jiānduān		
艰险	Adj	jiānxiǎn		
奸	Adj	jiān		
简短	Adj	jiǎnduǎn		
简陋	Adj	jiǎnlòu		
简明	Adj	jiǎnmíng		
简要	Adj	jiǎnyào		
简易	Adj	jiǎnyì		
间接	Adj	jiànjiē		
健美	Adj	jiànměi		
健壮	Adj	jiànzhuàng		
娇	Adj	jiāo		
娇气	Adj	jiāoqì		
杰出	Adj	jiéchū		
金黄	Adj	jīnhuáng		
紧迫	Adj	jǐnpò		
惊慌	Adj	jīnghuāng		
精美	Adj	jīngměi		
精密	Adj	jīngmì		
精确	Adj	jīngquè		
精心	Adj	jīngxīn		
静悄悄	Adj	jìngqiāoqiāo		
拘束	Adj	jūshù		
俊	Adj	jùn		
开阔	Adj	kāikuò		
开朗	Adj	kāilǎng		
开心	Adj	kāixīn		
慷慨	Adj	kāngkǎi		
可观	Adj	kěguān		
可贵	Adj	kěguì		
可口	Adj	kěkǒu		
可恶	Adj	kěwù		
可喜	Adj	kěxǐ		
恳切	Adj	kěnqiè		
空洞	Adj	kōngdòng		
空虚	Adj	kōngxū		
枯燥	Adj	kūzào		
苦恼	Adj	kǔnǎo		
快速	Adj	kuàisù		
宽敞	Adj	kuānchang		
宽大	Adj	kuāndà		
宽广	Adj	kuānguǎng		
狂妄	Adj	kuángwàng		
困苦	Adj	kùnkǔ		
赖	v, adj	lài		
懒惰	Adj	lǎnduò		
狼狈	Adj	lángbèi		
